job_title,category,salary
Care Coordinator,Health and Medical,48300
Caregiver,Health and Medical,52880
Case Manager,Health and Medical,112000
Central Sterile Processing Technician,Health and Medical,93140
Certified Clinical Research Coordinator,Health and Medical,97840
Certified Medical Assistant,Health and Medical,63700
Certified Nursing Assistant CNA,Health and Medical,69040
Certified Respiratory Therapist,Health and Medical,158700
Charge Entry Specialist,Health and Medical,98540
Chief of Psychology,Health and Medical,325600
Chief of Surgery,Health and Medical,466300
Chiropractor,Health and Medical,128500
Clinic Assistant,Health and Medical,67320
Clinic Manager,Health and Medical,148300
Clinic Navigator,Health and Medical,74540
Clinical Application Specialist,Health and Medical,96540
Clinical Biochemist,Health and Medical,174000
Clinical Cytogeneticist,Health and Medical,159400
Clinical Data Reviewer,Health and Medical,93140
Clinical Development Specialist,Health and Medical,125100
Clinical Director,Health and Medical,282300
Clinical Field Associate,Health and Medical,94940
Clinical Genetic Technologist,Health and Medical,148300
Clinical Laboratory Technician,Health and Medical,87760
Clinical Microbiologist,Health and Medical,205700
Clinical Molecular Geneticist,Health and Medical,163800
Clinical Neuropsychologist,Health and Medical,218900
Clinical Policy Developer,Health and Medical,95860
Clinical Psychologist,Health and Medical,308300
Clinical Research Coordinator,Health and Medical,116420
Clinical Scientist,Health and Medical,196800
Clinical Social Worker,Health and Medical,74560
Clinician,Health and Medical,190500
CME Specialist,Health and Medical,159500
Coding Practice Manager,Health and Medical,123400
Community Organizer,Health and Medical,52460
Community Relations Manager,Health and Medical,106760
Company Nurse,Health and Medical,67900
Correctional Treatment Specialist,Health and Medical,197600
Counseling Psychologist,Health and Medical,252300
Credentialing Analyst,Health and Medical,84040
Critical Care Nurse,Health and Medical,91380
CT Technologist,Health and Medical,95600
Cytogenetic Technologist,Health and Medical,138800
Data Coordinator,Health and Medical,46880
Dental Assistant,Health and Medical,72180
Dental Hygienist,Health and Medical,64180
Dental Laboratory Technician,Health and Medical,63320
Dental Receptionist,Health and Medical,55140
Dental Technician,Health and Medical,64040
Dental Therapist,Health and Medical,102380
Dentist,Health and Medical,247800
Dermatologist,Health and Medical,320500
Diagnostic Medical Sonographer,Health and Medical,119900
Dietetic Technician,Health and Medical,75260
Dietitian,Health and Medical,201100
Director of Medical Staff Services,Health and Medical,191600
Discharge Coordinator,Health and Medical,41480
Dispensing Optician,Health and Medical,96720
District Nurse,Health and Medical,80520
Doctor,Health and Medical,261300
Dosimetrist,Health and Medical,139100
EKG Technician,Health and Medical,93340
Emergency Department Physician,Health and Medical,239000
Emergency Management Director,Health and Medical,251500
Emergency Response Specialist,Health and Medical,95720
Emergency Services Director,Health and Medical,275500
Endodontist,Health and Medical,309800
Endoscopic Assistant,Health and Medical,83060
Endoscopy Technician,Health and Medical,81880
Enterostomal Therapist,Health and Medical,138800
Epidemiologist,Health and Medical,161300
ER Registration Supervisor,Health and Medical,66020
Exercise Physiologist,Health and Medical,245300
Family Nurse Practitioner,Health and Medical,91840
FGP Ultrasound Techncian,Health and Medical,84780
Food Services Director,Health and Medical,130400
Forensic Pathologist,Health and Medical,273000
General Medical Practitioner,Health and Medical,194600
Genetic Counselor,Health and Medical,174000
Head Nurse,Health and Medical,97460
Health Care Assistant,Health and Medical,68400
Health Compliance Director,Health and Medical,261300
Health Compliance Manager,Health and Medical,158700
Health Data Analyst,Health and Medical,97640
Health Economist,Health and Medical,257700
Health Information Management Specialist,Health and Medical,95760
Health Information Manager,Health and Medical,119900
Health Services Manager,Health and Medical,212500
Health Systems Specialist,Health and Medical,125700
Health Technologist,Health and Medical,138200
Health Unit Coordinator,Health and Medical,73040
Healthcare Assistant,Health and Medical,79600
Healthcare Consultant,Health and Medical,142300
Healthcare Data Analyst,Health and Medical,103260
Healthcare Practitioner,Health and Medical,197600
Hearing Aid Specialist,Health and Medical,105620
Histotechnologist,Health and Medical,125700
Home Health Aide,Health and Medical,82200
Home Health Scheduler,Health and Medical,55820
Home Nurse,Health and Medical,79360
ICU Registered Nurse,Health and Medical,92400
Immunologist,Health and Medical,192600
Industrial Hygienist,Health and Medical,128900
Infection Control Coordinator,Health and Medical,93100
Infection Control Practitioner,Health and Medical,222300
Infection Preventionist,Health and Medical,154700
Informatics Nurse Specialist,Health and Medical,88620
Informatics Practice Specialist,Health and Medical,119500
Intake Coordinator,Health and Medical,50980
Intensive Care Registered Nurse,Health and Medical,83060
Internist,Health and Medical,330900
Interventional Radiographer,Health and Medical,172200
Interventionist,Health and Medical,309800
Invasive Cardiologist,Health and Medical,398300
Lab Assistant,Health and Medical,78400
Laboratory Manager,Health and Medical,152000
Laboratory Supervisor ,Health and Medical,125700
Laboratory Technician,Health and Medical,79120
Lead Patient Account Representative,Health and Medical,93280
Licensed Practical Nurse (LPN),Health and Medical,84180
Licensed Vocational Nurse LVN,Health and Medical,82200
Low Vision Therapist,Health and Medical,169000
Mammography Technician,Health and Medical,80540
Managed Care Assistant,Health and Medical,48940
Maternity Services Director,Health and Medical,232400
MDS Coordinator,Health and Medical,89120
Medical Administrator,Health and Medical,111240
Medical Assistant,Health and Medical,56460
Medical Biller,Health and Medical,53320
Medical Billing Clerk,Health and Medical,43340
Medical Billing Specialist,Health and Medical,87060
Medical Coder,Health and Medical,73800
Medical Courier,Health and Medical,58200
Medical Director,Health and Medical,225700
Medical Equipment Maintenance Manager,Health and Medical,96680
Medical Equipment Preparer,Health and Medical,77120
Medical Forms Designer,Health and Medical,70260
Medical Insurance Manager,Health and Medical,172200
Medical Office Administrator,Health and Medical,90540
Medical Office Assistant,Health and Medical,69180
Medical Office Manager,Health and Medical,174000
Medical Policy Manager,Health and Medical,148300
Medical Policy Specialist,Health and Medical,85700
Medical Project Coordinator,Health and Medical,66140
Medical Records Administrator,Health and Medical,67320
Medical Records Clerk,Health and Medical,33960
Medical Records Coding Manager,Health and Medical,115940
Medical Records Director,Health and Medical,146200
Medical Records Specialist,Health and Medical,61760
Medical Records Transcriptionist,Health and Medical,53380
Medical Scribe,Health and Medical,73800
Medical Secretary,Health and Medical,52300
Medical Social Worker,Health and Medical,71400
Medical Staff Services Specialist,Health and Medical,102160
Medical Technologist,Health and Medical,87760
Medication Aide,Health and Medical,73880
Mental Health Aide,Health and Medical,83140
Mental Health Nurse,Health and Medical,84040
Mental Health Technician,Health and Medical,80020
Mental Health Therapst,Health and Medical,181600
Mental Health Worker,Health and Medical,80020
Mobile Phlebotomist,Health and Medical,61400
MRI Technologist,Health and Medical,82160
Music Therapist,Health and Medical,119700
Naturopathic Physician,Health and Medical,301300
Neonatal Nurse Practitioner,Health and Medical,123400
Neonatologist,Health and Medical,221500
Neurodiagnostic Techncian,Health and Medical,82480
Neurologist,Health and Medical,320500
Neurophysiology Technologist,Health and Medical,91520
Neuropsychology Testing Assistant,Health and Medical,72380
Nuclear Medical Technician,Health and Medical,111900
Nuclear Medicine Physician,Health and Medical,266000
Nuclear Medicine Technolgoist,Health and Medical,106820
Nurse,Health and Medical,85080
Nurse Educator,Health and Medical,97260
Nurse Manager,Health and Medical,159500
Nurse Midwife,Health and Medical,98000
Nurse Practitioner,Health and Medical,99340
Nursing Assistant,Health and Medical,78960
Nursing Coordinator,Health and Medical,95980
Nursing Director,Health and Medical,192000
Nursing Services Instructor,Health and Medical,99560
Nursing Supervisor,Health and Medical,125700
Nutrition Assistant,Health and Medical,77100
Nutrition Services Aide,Health and Medical,106740
Obstetrician / Gynecologist,Health and Medical,277400
Occupaitional Therapy Assistant,Health and Medical,87940
Occupational Health Advisor,Health and Medical,159100
Occupational Health Safety Specialist,Health and Medical,148300
Occupational Therapist,Health and Medical,128900
Oncology Specialty Representative,Health and Medical,97260
Operating Room Scheduler,Health and Medical,77340
Operating Room Services Director,Health and Medical,233900
Ophthalmic Assistant,Health and Medical,82520
Ophthalmic Laboratory Technician,Health and Medical,89120
Ophthalmic Medical Technician,Health and Medical,88260
Ophthalmic Technologist,Health and Medical,85020
Ophthalmologist,Health and Medical,228000
Optician,Health and Medical,183700
Optometrist,Health and Medical,232900
Oral Surgeon,Health and Medical,325800
Orthodontic Assistant,Health and Medical,70940
Orthodontist,Health and Medical,315700
Orthopedic Technician,Health and Medical,84180
Orthoptist,Health and Medical,221500
Orthotist,Health and Medical,239000
Pathology Assistant,Health and Medical,84880
Patient Account Represenatative,Health and Medical,77860
Patient Care Coordinator,Health and Medical,97260
Patient Care Manager,Health and Medical,159400
Patient Care Services Executive,Health and Medical,123400
Patient Care Technician,Health and Medical,78420
Patient Management Coordinator,Health and Medical,69580
Patient Registrar,Health and Medical,52380
Patient Relations Manager,Health and Medical,136200
Patient Representative,Health and Medical,72540
Patient Safety Manager,Health and Medical,118520
Patient Safety Specialist,Health and Medical,107380
Patient Services Coordinator,Health and Medical,118260
Patient Services Director,Health and Medical,161600
Patient Sitter,Health and Medical,61780
Pediatrician,Health and Medical,253400
Perfusionist,Health and Medical,253400
Periodontist,Health and Medical,301600
Perioperative Aide,Health and Medical,102720
Perioperative Assistant,Health and Medical,110120
Personal Support Worker,Health and Medical,67360
Phlebotomist,Health and Medical,64640
Physical Therapist,Health and Medical,161600
Physical Therapy Aide,Health and Medical,72780
Physical Therapy Assistant,Health and Medical,67320
Physical Therapy Director,Health and Medical,201100
Physician,Health and Medical,252300
Physician - Anesthesiology,Health and Medical,365400
Physician - Cardiology,Health and Medical,378300
Physician - CCU,Health and Medical,228000
Physician - Dermatology,Health and Medical,315700
Physician - Emergency Room,Health and Medical,227600
Physician - Endocrinology,Health and Medical,311700
Physician - Family Practice,Health and Medical,209500
Physician - Gastroenterology,Health and Medical,275500
Physician - Generalist,Health and Medical,215100
Physician - Geriatrics,Health and Medical,197600
Physician - Hematology / Oncology,Health and Medical,271300
Physician - Immunology / Allergy,Health and Medical,319600
Physician - Infectious Disease,Health and Medical,266000
Physician - Internal Medicine,Health and Medical,315700
Physician - Maternal / Fetal Medicine,Health and Medical,268900
Physician - Nephrology,Health and Medical,319600
Physician - Neurology,Health and Medical,308300
Physician - Nuclear Medicine,Health and Medical,283400
Physician - Obstetrics / Gynecology,Health and Medical,290800
Physician - Occupational Medicine,Health and Medical,216800
Physician - Ophthalmology,Health and Medical,197600
Physician - Otolaryngology,Health and Medical,197600
Physician - Pain Medicine,Health and Medical,180500
Physician - Pathology,Health and Medical,218900
Physician - Pediatric Cardiology,Health and Medical,294700
Physician - Pediatric Neonatology,Health and Medical,272800
Physician - Pediatrics,Health and Medical,239000
Physician - Physiatry,Health and Medical,277400
Physician - Podiatry,Health and Medical,246500
Physician - Pulmonary Medicine,Health and Medical,190500
Physician - Radiation Therapy,Health and Medical,332500
Physician - Radiology,Health and Medical,322600
Physician - Rheumatology,Health and Medical,275800
Physician - Sports Medicine,Health and Medical,294700
Physician - Urology,Health and Medical,367900
Physician Assistant,Health and Medical,168100
Physiotherapist,Health and Medical,180500
Podiatrist,Health and Medical,194600
Practice Manager,Health and Medical,207800
Pre Authorization Case Manager,Health and Medical,114940
Preventive Medicine Physician,Health and Medical,252300
Private Caregiver,Health and Medical,84740
Program Coordinator,Health and Medical,49560
Project Manager,Health and Medical,128900
Prosthetist,Health and Medical,187300
Prosthodontist,Health and Medical,309800
Psychiatric Nurse,Health and Medical,78420
Psychiatric Technician,Health and Medical,85080
Psychiatrist,Health and Medical,275800
Psychololgist,Health and Medical,273000
Psychometrician,Health and Medical,227600
Psychometrist,Health and Medical,148300
Public Health Analyst,Health and Medical,183700
Public Health Social Worker,Health and Medical,48560
Public Health Specialist,Health and Medical,172200
Quality Assurance Manager,Health and Medical,142300
Radiation Therapist,Health and Medical,288700
Radiation Therapy Technologist,Health and Medical,119900
Radiographer,Health and Medical,195200
Radiography Technologist,Health and Medical,118380
Radiologic Technologist,Health and Medical,119900
Radiologist,Health and Medical,279400
Radiology Manager,Health and Medical,268900
Radiology Technologist,Health and Medical,115600
Registered Dietitian,Health and Medical,210500
Registered Medical Assistant,Health and Medical,53840
Registered Nurse,Health and Medical,86420
Registered Nurse Case Manager,Health and Medical,103140
Registered Respiratory Therapist,Health and Medical,164200
Rehabilitation Director,Health and Medical,245300
Rehabilitation Services Manager,Health and Medical,265000
Respiratory Care Practitioner,Health and Medical,221500
Respiratory Manager,Health and Medical,163800
Respiratory Therapist,Health and Medical,167100
Respiratory Therapy Technician,Health and Medical,93340
School Nurse,Health and Medical,73120
Skin Care Specialist,Health and Medical,152000
Sonographer,Health and Medical,113280
Sonography Technologist,Health and Medical,119900
Speech and Language Pathologist,Health and Medical,172400
Staff Nurse,Health and Medical,79120
Surgeon,Health and Medical,320500
Surgeon - Burn,Health and Medical,297000
Surgeon - Cardiothoracic,Health and Medical,440200
Surgeon - Heart Transplant,Health and Medical,466900
Surgeon - Neurology,Health and Medical,388100
Surgeon - Orthopedic,Health and Medical,472100
Surgeon - Pediatric,Health and Medical,366200
Surgeon - Plastic Reconstructive,Health and Medical,412000
Surgeon - Trauma,Health and Medical,351200
Surgical Assistant,Health and Medical,108320
Surgical Instrument Techncian,Health and Medical,96520
Surgical Technologist,Health and Medical,106960
Telephonic Nurse Case Manager,Health and Medical,119500
Theatre Manager,Health and Medical,134600
Treatment Services Director,Health and Medical,294700
Ultrasonographer,Health and Medical,90540
Ultrasound Technologist,Health and Medical,84740
Urologist,Health and Medical,348300
Utilization Review Nurse,Health and Medical,92240
Vascular Technologist,Health and Medical,80060
Vision Rehabilitation Therapist,Health and Medical,172400
Ward Manager,Health and Medical,148300
Wellness Coordinator,Health and Medical,104920
X-Ray Technologist,Health and Medical,115620
Benefits Administrator,Human Resources,69580
Benefits Analyst,Human Resources,78120
Benefits Manager,Human Resources,128900
Benefits Specialist,Human Resources,78500
Chief Human Resources Officer,Human Resources,172200
Chief People Officer,Human Resources,168100
Compensation Analyst,Human Resources,83140
Compensation and Benefits Manager,Human Resources,128500
Compensation and Benefits Officer,Human Resources,57360
Compensation and Benefits Specialist,Human Resources,78500
Compensation Manager,Human Resources,136200
Corporate Director of Human Resources,Human Resources,172200
Corporate Recruiter,Human Resources,111000
Corporate Trainer,Human Resources,85440
Director of Talent Acquisition,Human Resources,159400
Employee Benefits Administrator,Human Resources,96160
Employee Benefits Consultant,Human Resources,123400
Employee Benefits Coordinator,Human Resources,51400
Employee Communications Manager,Human Resources,119900
Employee Development Specialist,Human Resources,113220
Employee Engagement Specialist,Human Resources,114380
Employee Health and Wellness Administrator,Human Resources,104080
Employee Performance Specialist,Human Resources,80520
Employee Relations Analyst,Human Resources,106160
Employee Relations Manager,Human Resources,123400
Employee Relations Practitioner,Human Resources,119900
Employee Relations Representative,Human Resources,85880
Employee Relations Specialist,Human Resources,112440
Employee Services Manager,Human Resources,119020
Employee Services Specialist,Human Resources,109340
Employee Wellness Officer,Human Resources,83020
Employment Advice Worker,Human Resources,53600
Employment Interviewer,Human Resources,78940
Employment Relations Officer,Human Resources,53320
Employment Service Specialist,Human Resources,61580
Employment Services Coordinator,Human Resources,73020
Enrollment Counselor,Human Resources,106440
Equal Opportunity Representative,Human Resources,83640
Executive Human Capital Management,Human Resources,159500
Executive Recruiter,Human Resources,112460
Expatriate Administration Manager,Human Resources,118260
Expatriate Administration Supervisor,Human Resources,78500
Global Mobility Manager,Human Resources,137400
Head of Human Resources,Human Resources,151800
Headhunter,Human Resources,118060
Health Benefits Coordinator,Human Resources,68360
HRIS Analyst,Human Resources,56460
HRIS Manager,Human Resources,96980
HRIS Officer,Human Resources,48940
HRIS Supervisor,Human Resources,60480
Human Resources Administration Specialist,Human Resources,63320
Human Resources Administrative Assistant,Human Resources,48200
Human Resources Administrative Coordinator,Human Resources,68400
Human Resources Administrator,Human Resources,72360
Human Resources Advisor,Human Resources,106600
Human Resources Analyst,Human Resources,96220
Human Resources Assessor,Human Resources,58440
Human Resources Assistant,Human Resources,45060
Human Resources Assistant Manager,Human Resources,124400
Human Resources Associate,Human Resources,46160
Human Resources Consultant,Human Resources,136100
Human Resources Coordinator,Human Resources,47180
Human Resources Data Analytics Manager,Human Resources,92720
Human Resources Deputy Manager ,Human Resources,119900
Human Resources Development Manager,Human Resources,146200
Human Resources Director,Human Resources,174000
Human Resources Executive,Human Resources,116780
Human Resources Generalist,Human Resources,83020
Human Resources Manager,Human Resources,152100
Human Resources Officer,Human Resources,65760
Human Resources Recruiter,Human Resources,115220
Human Resources Representative,Human Resources,66440
Human Resources Section Head,Human Resources,110380
Human Resources Services Manager,Human Resources,136100
Human Resources Specialist,Human Resources,81960
Human Resources Superintendent,Human Resources,56640
Human Resources Training Executive,Human Resources,115220
Human Resources Vice President,Human Resources,164200
Industrial Organizational Psychologist,Human Resources,142300
Job Evaluation Specialist,Human Resources,111920
Labor Relations Director,Human Resources,136200
Labor Relations Manager,Human Resources,128900
Labor Relations Specialist,Human Resources,58720
Learning and Development Manager,Human Resources,143200
Occupational Health and Safety Officer,Human Resources,64720
Organizational Development Consultant,Human Resources,125100
Organizational Development Manager,Human Resources,148300
Organizational Development Specialist,Human Resources,69240
Payroll Assistant,Human Resources,55220
Payroll Supervisor,Human Resources,68060
People Development Officer,Human Resources,80580
Personnel Officer,Human Resources,45260
Personnel Recruiter,Human Resources,113280
Records Clerk,Human Resources,42400
Records Manager,Human Resources,66580
Recruiter,Human Resources,109460
Recruiting Coordinator,Human Resources,61460
Recruiting Manager,Human Resources,157600
Recruitment Consultant,Human Resources,115520
Recruitment Officer,Human Resources,58720
Recruitment Supervisor,Human Resources,91660
Research Associate,Human Resources,55020
SAP Resource Manager,Human Resources,117660
Talent Acquisition Manager,Human Resources,146200
Talent Acquisition Specialist,Human Resources,92680
Talent Management Officer,Human Resources,73040
Technical Recruiter,Human Resources,69780
Training Administrator,Human Resources,60920
Training and Development Manager,Human Resources,142300
Training and Development Section Head,Human Resources,118260
Training Executive,Human Resources,123400
Training Manager,Human Resources,146200
Training Officer,Human Resources,53320
Training Specialist,Human Resources,91580
Customs Controller,Import and Export,64640
Expeditor,Import and Export,62100
Export Administrator,Import and Export,92240
Export Controller,Import and Export,61780
Export Executive ,Import and Export,94400
Export Logistics Manager,Import and Export,142300
Export Logistics Specialist,Import and Export,93340
Export Services Manager,Import and Export,148300
Export Specialist ,Import and Export,76440
Export Supervisor,Import and Export,90540
Exports Sales Manager,Import and Export,164200
Freight Forwarder,Import and Export,35420
Global Forwarding Agent,Import and Export,73260
Immigration and Customs Inspector,Import and Export,51340
Import and Export Clerk,Import and Export,36160
Import and Export Consultant,Import and Export,130400
Import and Export Manager,Import and Export,167100
Import and Procurement Manager,Import and Export,159100
Import Coordinator,Import and Export,58200
Import Customs Specialist,Import and Export,66440
Import Logistics Specialist,Import and Export,72740
Importation Supervisor,Import and Export,110120
Inspector,Import and Export,57080
Logistic Executive,Import and Export,72740
Logistician,Import and Export,36700
Logistics Administrator,Import and Export,83640
Logistics Analyst,Import and Export,91560
Logistics Specialist,Import and Export,80180
Marine Cargo Inspector,Import and Export,51340
Shipping Officer,Import and Export,38060
2nd Line Systems Engineer,Information Technology,99220
ABAP Developer,Information Technology,93220
Advertising Account Planner,Information Technology,92880
Android Developer,Information Technology,99280
Angular Developer,Information Technology,88580
Angular JS Programmer,Information Technology,95860
Application Consultant,Information Technology,119900
Application Developer,Information Technology,97900
Application Management Analyst,Information Technology,99460
Applications Engineer,Information Technology,83400
Applications Support,Information Technology,73040
Applications System Specialist,Information Technology,91380
Artificial Intelligence and Machine Learning Specialist,Information Technology,125700
Artificial Intelligence Developer,Information Technology,125100
AS400 Programmer,Information Technology,104920
Assistant Information Technology Manager,Information Technology,125700
Assistant Information Technology Project Manager,Information Technology,127700
Assistant Service Delivery Manager,Information Technology,113420
Avaloq Developer,Information Technology,90620
BizTalk Developer ,Information Technology,101960
Blockchain Associate,Information Technology,96520
Blockchain Developer,Information Technology,88580
Build and Release Engineer,Information Technology,96220
Business Intelligence Analyst,Information Technology,106760
Business Intelligence Consultant,Information Technology,142300
Business Intelligence Developer,Information Technology,109340
Business Intelligence Manager,Information Technology,138200
Business Objects Developer,Information Technology,93220
Business Process Analyst,Information Technology,107320
Business Process Consultant,Information Technology,107860
Business Systems Analyst,Information Technology,92400
C# Developer,Information Technology,112660
C++ Developer,Information Technology,108340
Capacity Planning Manager,Information Technology,138200
Change Administrator,Information Technology,92880
Chief Information Officer,Information Technology,168100
Chief Information Security Officer,Information Technology,152300
Client Delivery Manager,Information Technology,128500
CMS Developer,Information Technology,80020
Computer Animator,Information Technology,88620
Computer Engineer,Information Technology,83760
Computer Hardware Engineer,Information Technology,80020
Computer Network Support Specialist,Information Technology,94400
Computer Networks Architect,Information Technology,97880
Computer Operator,Information Technology,66440
Computer Programmer,Information Technology,105080
Computer Security Specialist,Information Technology,115620
Computer Support Specialist,Information Technology,80580
Computer Technician,Information Technology,80520
Copy Editor,Information Technology,85880
CRM Application Administrator,Information Technology,96600
CRM Manager,Information Technology,102460
Cross Platform Security Manager,Information Technology,139100
Curam Developer,Information Technology,83400
Cyber Security Consultant,Information Technology,124400
Cyber Security Researcher,Information Technology,123400
Cyber Security Specialist,Information Technology,123400
Data Analyst,Information Technology,93220
Data Analytics Engineer,Information Technology,93140
Data Architect,Information Technology,95980
Data Center Specialist,Information Technology,99560
Data Center Technician,Information Technology,83060
Data Entry Coordintor,Information Technology,53660
Data Entry Supervisor,Information Technology,66180
Data Management Specialist,Information Technology,115520
Data Manager,Information Technology,128900
Data Modeling Analyst,Information Technology,102020
Data Quality Analyst,Information Technology,96540
Data Security Analyst,Information Technology,95600
Data Security Manager,Information Technology,137400
Data Technician,Information Technology,56460
Data Visualisation Analyst,Information Technology,94380
Data Warehousing Manager,Information Technology,134600
Data Warehousing Specialist,Information Technology,99460
Database Administration Manager,Information Technology,123400
Database Administrator,Information Technology,107320
Database Analyst,Information Technology,109740
Database Developer,Information Technology,101860
Database Report Writer,Information Technology,89980
Deep Learning Developer,Information Technology,99560
Delivery Manager,Information Technology,107580
Desktop Support Engineer,Information Technology,67900
Desktop Support Technician,Information Technology,69240
Developer / Programmer,Information Technology,97300
Development Architect,Information Technology,96180
Development Group Supervisor,Information Technology,113840
Development Manager,Information Technology,136200
Director of Application Development,Information Technology,146200
Director of Technology,Information Technology,180500
Disaster Recovery Analyst,Information Technology,93660
Disaster Recovery Specialist,Information Technology,92880
Documentation Specialist,Information Technology,84880
Driver Developer,Information Technology,110380
E-Commerce Manager,Information Technology,127700
E-Commerce Marketing Analyst,Information Technology,118260
E-Commerce Marketing Manager,Information Technology,125100
E-Commerce Sales Manager,Information Technology,139100
E-Commerce Strategy Manager,Information Technology,142300
Embedded Software Developer,Information Technology,106760
Enterprise Architecture Manager,Information Technology,130400
Enterprise Infrastructure Architect,Information Technology,134600
Enterprise Infrastructure Manager,Information Technology,158700
ERP / CRM Technical Consultant,Information Technology,102460
ERP Analyst,Information Technology,109000
ERP Project Manager,Information Technology,134600
Ethical Hacker,Information Technology,88580
Financial Systems Manager,Information Technology,154700
Flash Developer,Information Technology,91580
Front End Developer,Information Technology,82920
Front End Web Developer,Information Technology,88240
Full Stack Developer,Information Technology,102960
Functional Analyst,Information Technology,104500
Game Developer,Information Technology,96160
GIS Analyst,Information Technology,93100
GIS Developer,Information Technology,97840
Global BI Analyst,Information Technology,103140
Graphical User Interface ( GUI ) Programmer,Information Technology,87940
Graphics Programmer,Information Technology,86740
Graphics Web Designer,Information Technology,81880
Hardware Design Engineer,Information Technology,95980
Hardware Engineering Manager,Information Technology,150000
Hardware Technician,Information Technology,73820
Head of Development,Information Technology,136200
Head of Information Technology,Information Technology,168100
Help Desk Analyst,Information Technology,97760
Help Desk Manager,Information Technology,111920
Help Desk Support,Information Technology,74540
Help Desk Technician,Information Technology,67120
Helpdesk Manager,Information Technology,119700
Imaging Programmer,Information Technology,85700
Informatics Optimization Specialist,Information Technology,107320
Information Assurance Analyst,Information Technology,104080
Information Program Director,Information Technology,148300
Information Security Administrator,Information Technology,118200
Information Security Analyst,Information Technology,116180
Information Security Associate,Information Technology,98140
Information Security Director,Information Technology,138800
Information Security Engineer,Information Technology,99460
Information Security Manager,Information Technology,151800
Information Security Specialist,Information Technology,117600
Information Services Consultant,Information Technology,124400
Information Systems Developer,Information Technology,96540
Information Systems Manager,Information Technology,157600
Information Technology Administrator,Information Technology,79500
Information Technology Analyst,Information Technology,97880
Information Technology Architect,Information Technology,107380
Information Technology Asset Manager,Information Technology,136100
Information Technology Business Analyst,Information Technology,108320
Information Technology Consultant,Information Technology,120880
Information Technology Coordinator,Information Technology,78400
Information Technology Director,Information Technology,163800
Information Technology Engineer,Information Technology,83420
Information Technology Executive,Information Technology,148300
Information Technology Helpdesk,Information Technology,66140
Information Technology Infrastructure Engineer,Information Technology,85020
Information Technology Manager,Information Technology,161600
Information Technology Operation Engineer,Information Technology,91320
Information Technology Operations Manager,Information Technology,167100
Information Technology Product Manager,Information Technology,142300
Information Technology Project Administrator,Information Technology,85440
Information Technology Project Coordinator,Information Technology,103260
Information Technology Project Leader,Information Technology,115740
Information Technology Project Manager,Information Technology,159500
Information Technology Quality Assurance Manager,Information Technology,117860
Information Technology Quality Assurance Team Lead (QA),Information Technology,112000
Information Technology Quality Specialist,Information Technology,103600
Information Technology Sales Manager,Information Technology,142300
Information Technology Specialist,Information Technology,117660
Information Technology Staff,Information Technology,73120
Information Technology Support,Information Technology,64180
Information Technology Systems Analyst,Information Technology,107820
Information Technology Team Leader,Information Technology,125700
Information Technology Trainer,Information Technology,107680
Information Technology Training Analyst,Information Technology,102380
Interface Design Manager,Information Technology,125100
Interface Designer,Information Technology,86460
IOS Developer,Information Technology,109520
Java Developer,Information Technology,103440
Javascript Developer,Information Technology,99220
Lead Developer,Information Technology,119900
Linux Administrator,Information Technology,101860
Lotus Domino Administrator,Information Technology,107680
Lotus Notes Developer,Information Technology,100580
Mail Server Administrator,Information Technology,89460
Major Incident Manager,Information Technology,115260
Managed Service Specialist,Information Technology,104600
Microsystems Engineer,Information Technology,104500
Mobile Developer,Information Technology,99560
Multimedia Developer,Information Technology,89460
Multimedia Services Manager,Information Technology,117660
Network Administration Team Lead,Information Technology,119900
Network Administrator,Information Technology,84740
Network Analyst,Information Technology,97760
Network and Infrastructure Manager,Information Technology,154700
Network Engineer,Information Technology,89120
Network Engineering Manager,Information Technology,112180
Network Security Systems Manager,Information Technology,128500
Network Specialist,Information Technology,99460
Network Support Engineer,Information Technology,80480
Network Support Specialist,Information Technology,88260
Network Technician,Information Technology,77640
Nodejs Developer,Information Technology,111900
NT Systems Administrator,Information Technology,96980
Numerical Control Programmer,Information Technology,81960
Online Banking Manager,Information Technology,159500
Online Banking Specialist,Information Technology,129000
OPS Manager,Information Technology,143200
Oracle Database Administrator,Information Technology,99280
Oracle Developer,Information Technology,101900
Perl Developer,Information Technology,86460
PHP Developer,Information Technology,85440
Principal Consultant,Information Technology,106360
Program Lead,Information Technology,129000
Python Developer,Information Technology,104440
Records Manager,Information Technology,83020
Remedy Developer,Information Technology,83060
Reporting Analyst,Information Technology,99340
Ruby Developer,Information Technology,94900
Salesforce Administrator,Information Technology,96980
Salesforce Developer,Information Technology,77380
SAP Consultant,Information Technology,111240
SAS Programmer,Information Technology,87060
Scrum Master,Information Technology,78160
SEO Associate,Information Technology,85440
SEO Manager,Information Technology,125700
Service Delivery Manager,Information Technology,128500
Service Level Manager,Information Technology,136200
Service Support Lead,Information Technology,101980
SharePoint Administrator,Information Technology,98820
Sharepoint Consultant,Information Technology,101120
Sharepoint Developer,Information Technology,105620
Shift Leader,Information Technology,109340
SOA Analyst,Information Technology,95720
SOC Engineer,Information Technology,92680
Software Analyst,Information Technology,97840
Software Architect,Information Technology,96980
Software Developer,Information Technology,98440
Software Development Manager,Information Technology,125700
Software Engineer,Information Technology,103840
Software QA Engineer,Information Technology,93880
Software Sales,Information Technology,88600
Software Specialist,Information Technology,83900
